,id,year,month,day,tmax,tmin,date
0,MX17004,2010,1,30,27.8,14.5,2010-01-30
1,MX17004,2010,2,2,27.3,14.4,2010-02-02
2,MX17004,2010,2,3,24.1,14.4,2010-02-03
3,MX17004,2010,2,11,29.7,13.4,2010-02-11
4,MX17004,2010,2,23,29.9,10.7,2010-02-23
5,MX17004,2010,3,5,32.1,14.2,2010-03-05
6,MX17004,2010,3,10,34.5,16.8,2010-03-10
7,MX17004,2010,3,16,31.1,17.6,2010-03-16
8,MX17004,2010,4,27,36.3,16.7,2010-04-27
9,MX17004,2010,5,27,33.2,18.2,2010-05-27
10,MX17004,2010,6,17,28.0,17.5,2010-06-17
11,MX17004,2010,6,29,30.1,18.0,2010-06-29
12,MX17004,2010,7,3,28.6,17.5,2010-07-03
13,MX17004,2010,7,14,29.9,16.5,2010-07-14
14,MX17004,2010,8,23,26.4,15.0,2010-08-23
15,MX17004,2010,8,5,29.6,15.8,2010-08-05
16,MX17004,2010,8,29,28.0,15.3,2010-08-29
17,MX17004,2010,8,8,29.0,17.3,2010-08-08
18,MX17004,2010,8,13,29.8,16.5,2010-08-13
19,MX17004,2010,8,25,29.7,15.6,2010-08-25
20,MX17004,2010,8,31,25.4,15.4,2010-08-31
21,MX17004,2010,10,5,27.0,14.0,2010-10-05
22,MX17004,2010,10,14,29.5,13.0,2010-10-14
23,MX17004,2010,10,7,28.1,12.9,2010-10-07
24,MX17004,2010,10,15,28.7,10.5,2010-10-15
25,MX17004,2010,10,28,31.2,15.0,2010-10-28
26,MX17004,2010,11,2,31.3,16.3,2010-11-02
27,MX17004,2010,11,5,26.3,7.9,2010-11-05
28,MX17004,2010,11,27,27.7,14.2,2010-11-27
29,MX17004,2010,11,4,27.2,12.0,2010-11-04
30,MX17004,2010,11,26,28.1,12.1,2010-11-26
31,MX17004,2010,12,1,29.9,13.8,2010-12-01
32,MX17004,2010,12,6,27.8,10.5,2010-12-06
